compressionLevels: 0, compressionBlockCols: 2, compressionBlockRows: 25, time: 168.784 ms
compressionLevels: 0, compressionBlockCols: 1, compressionBlockRows: 26, time: 186.066 ms
compressionLevels: 0, compressionBlockCols: 2, compressionBlockRows: 26, time: 189.24 ms
compressionLevels: 0, compressionBlockCols: 1, compressionBlockRows: 27, time: 190.91 ms
compressionLevels: 0, compressionBlockCols: 2, compressionBlockRows: 27, time: 175.503 ms
compressionLevels: 0, compressionBlockCols: 1, compressionBlockRows: 28, time: 172.798 ms
compressionLevels: 0, compressionBlockCols: 2, compressionBlockRows: 28, time: 172.894 ms
compressionLevels: 0, compressionBlockCols: 1, compressionBlockRows: 29, time: 170.766 ms
compressionLevels: 0, compressionBlockCols: 2, compressionBlockRows: 29, time: 170.621 ms
compressionLevels: 0, compressionBlockCols: 1, compressionBlockRows: 30, time: 169.653 ms
compressionLevels: 0, compressionBlockCols: 2, compressionBlockRows: 30, time: 169.768 ms
compressionLevels: 0, compressionBlockCols: 1, compressionBlockRows: 31, time: 172.867 ms
compressionLevels: 0, compressionBlockCols: 2, compressionBlockRows: 31, time: 170.007 ms
compressionLevels: 0, compressionBlockCols: 1, compressionBlockRows: 32, time: 169.244 ms
compressionLevels: 0, compressionBlockCols: 2, compressionBlockRows: 32, time: 170.238 ms
compressionLevels: 0, compressionBlockCols: 1, compressionBlockRows: 33, time: 169.6 ms
compressionLevels: 0, compressionBlockCols: 2, compressionBlockRows: 33, time: 169.236 ms
compressionLevels: 0, compressionBlockCols: 1, compressionBlockRows: 34, time: 170.171 ms
compressionLevels: 0, compressionBlockCols: 2, compressionBlockRows: 34, time: 170.074 ms
compressionLevels: 0, compressionBlockCols: 1, compressionBlockRows: 35, time: 169.866 ms
compressionLevels: 0, compressionBlockCols: 2, compressionBlockRows: 35, time: 169.563 ms
compressionLevels: 0, compressionBlockCols: 1, compressionBlockRows: 36, time: 168.861 ms
compressionLevels: 0, compressionBlockCols: 2, compressionBlockRows: 36, time: 169.869 ms
compressionLevels: 0, compressionBlockCols: 1, compressionBlockRows: 37, time: 169.147 ms
compressionLevels: 0, compressionBlockCols: 2, compressionBlockRows: 37, time: 182.122 ms
compressionLevels: 0, compressionBlockCols: 1, compressionBlockRows: 38, time: 197.176 ms
compressionLevels: 0, compressionBlockCols: 2, compressionBlockRows: 38, time: 191.134 ms
compressionLevels: 0, compressionBlockCols: 1, compressionBlockRows: 39, time: 176.909 ms
compressionLevels: 0, compressionBlockCols: 2, compressionBlockRows: 39, time: 172.249 ms
compressionLevels: 0, compressionBlockCols: 1, compressionBlockRows: 40, time: 174.206 ms
compressionLevels: 0, compressionBlockCols: 2, compressionBlockRows: 40, time: 171.069 ms
compressionLevels: 0, compressionBlockCols: 1, compressionBlockRows: 41, time: 170.09 ms
compressionLevels: 0, compressionBlockCols: 2, compressionBlockRows: 41, time: 168.41 ms
compressionLevels: 0, compressionBlockCols: 1, compressionBlockRows: 42, time: 170.609 ms
compressionLevels: 0, compressionBlockCols: 2, compressionBlockRows: 42, time: 170.292 ms
compressionLevels: 1, compressionBlockCols: 1, compressionBlockRows: 1, time: 167.837 ms
compressionLevels: 1, compressionBlockCols: 2, compressionBlockRows: 1, time: 154.61 ms
compressionLevels: 1, compressionBlockCols: 1, compressionBlockRows: 2, time: 87.5789 ms
compressionLevels: 1, compressionBlockCols: 2, compressionBlockRows: 2, time: 152.546 ms
compressionLevels: 1, compressionBlockCols: 1, compressionBlockRows: 3, time: 69.5891 ms
compressionLevels: 1, compressionBlockCols: 2, compressionBlockRows: 3, time: 145.576 ms
compressionLevels: 1, compressionBlockCols: 1, compressionBlockRows: 4, time: 55.8909 ms
compressionLevels: 1, compressionBlockCols: 2, compressionBlockRows: 4, time: 147.75 ms
compressionLevels: 1, compressionBlockCols: 1, compressionBlockRows: 5, time: 54.3062 ms
compressionLevels: 1, compressionBlockCols: 2, compressionBlockRows: 5, time: 155.998 ms
compressionLevels: 1, compressionBlockCols: 1, compressionBlockRows: 6, time: 51.76 ms
compressionLevels: 1, compressionBlockCols: 2, compressionBlockRows: 6, time: 184.342 ms
compressionLevels: 1, compressionBlockCols: 1, compressionBlockRows: 7, time: 55.3401 ms
